Retention_Success_Rate,Retention_Cost,Profitable_Customers,Budget,Customers_Selected,Budget_Spent,Optimized_Value,ROI
0.2,50,415,10000,200,10000,8285.138274080953,0.8285138274080953
0.2,100,38,10000,38,3800,811.7084806261079,0.21360749490160733
0.2,150,0,10000,0,0,0.0,0.0
0.3,50,607,10000,200,10000,17427.707411121428,1.7427707411121427
0.3,100,229,10000,100,10000,5387.433199460753,0.5387433199460753
0.3,150,38,10000,38,5700,1217.5627209391612,0.21360749490160721
0.4,50,766,10000,200,10000,26570.276548161906,2.6570276548161904
0.4,100,415,10000,100,10000,10516.577599281003,1.0516577599281003
0.4,150,187,10000,66,9900,4540.774561478258,0.45866409711901596
